"Title","HN: Real households disposable income: CVM SA £m                        "
"CDID","NRJR"
"Source dataset ID","UKEA"
"PreUnit","£"
"Unit","m"
"Release date","30-06-2016"
"Next release","30 September 2016"
"Important notes",
"2007 Q4","287226"
"2008 Q1","279740"
"2008 Q2","283802"
"2008 Q3","280416"
"2008 Q4","282296"
"2009 Q1","278255"
"2009 Q2","291367"
"2009 Q3","289694"
"2009 Q4","292090"
"2010 Q1","290879"
"2010 Q2","289116"
"2010 Q3","292870"
"2010 Q4","289813"
"2011 Q1","284583"
"2011 Q2","285702"
"2011 Q3","285140"
"2011 Q4","283104"
"2012 Q1","285501"
"2012 Q2","292806"
"2012 Q3","293003"
"2012 Q4","291755"
"2013 Q1","284802"
"2013 Q2","291670"
"2013 Q3","293721"
"2013 Q4","291349"
"2014 Q1","289135"
"2014 Q2","295571"
"2014 Q3","294641"
"2014 Q4","299828"
"2015 Q1","298018"
"2015 Q2","304530"
"2015 Q3","309404"
"2015 Q4","308002"
"2016 Q1","314110"
